Gene	Frame ID	Synonyms	Location	Complex	Cofactors	Essentiality (Lb Lennox)	Copy Number in Neidhardt EZ rich defined medium (molecules/cell)	Molecular Weight (from nucleotide sequece)	Mass (fg)	Overall # of Subunits	Unique Subunits	pI
glk	EG12957	None	cytosol	Monomer	None	Growth	979	34.723	0.05644806	1	1	6.209
glmM	EG11553	yhbF; mrsA	cytosol	Monomer	"glucosamine 1,6-diphosphate "	No Growth	5713	47.544	0.451033741	1	1	5.753
glmY	G0-8910	tke1; sroF	Unknown	Monomer	None	No Info Available	No Info Available	No Info Available	No Info Available	1	1	No Info Available
glmZ	G0-8873	psrA20; sraJ; k19; ryiA	Unknown	Monomer	None	No Info Available	No Info Available	No Info Available	No Info Available	1	1	No Info Available
glnD	EG11411	glnD5; UTase/UR	cytosol	Monomer	"Mn2+ , Mg2+ "	Growth	188	102.39	0.031964247	1	1	6.384
glnE	EG11602	None	cytosol	Monomer	Mg2+ 	Growth	212	108.42	0.038167556	1	1	4.953
glnS	EG10390	GlnRS	cytosol	Monomer	None	No Growth	8204	63.478	0.864764748	1	1	5.976
glnU	EG30028	glnUalpha; supB; trnA; tRNAglnU; tRNAGln1	cytosol	Monomer	None	No Info Available	No Info Available	No Info Available	No Info Available	1	1	No Info Available
glnV	EG30029	Su2; glnValpha; suII; supE; tRNAglnV; tRNAGln2	cytosol	Monomer	None	No Info Available	No Info Available	No Info Available	No Info Available	1	1	No Info Available
glnW	EG30030	glnU-beta; glnUbeta; tRNAglnW; tRNAGln1	cytosol	Monomer	None	No Info Available	No Info Available	No Info Available	No Info Available	1	1	No Info Available
glnX	EG30031	supE; glnV-beta; glnVbeta; tRNAglnX; tRNAGln2	cytosol	Monomer	None	No Info Available	No Info Available	No Info Available	No Info Available	1	1	No Info Available
gloB	G6099	yafR; glyoxalase II	cytosol	Monomer	Zn2+ 	Growth	390	28.434	0.018414149	1	1	5.448
gloC	G6475	ycbL; GlxII-2; glyoxalase II	cytosol	Monomer	Zn2+ 	Growth	1759	23.784	0.069470404	1	1	No Info Available
glpG	EG10397	intramembrane serine protease	inner membrane	Monomer	None	Growth	744	31.307	0.038677953	1	1	9.322
glpR	EG10400	None	Unknown	Monomer	None	Growth	1057	No Info Available	No Info Available	1	1	5.968
glpT	EG10401	GlpT glycerol-3-P MFS transporter	inner membrane	Monomer	None	Growth	49	50.31	0.004093544	1	1	8.317
glrR	EG11285	yfhA; qseF; GlrR response regulator	cytosol	Monomer	None	Growth	118	49.148	0.009630236	1	1	6.113
gltF	EG11514	ossB	"periplasmic space, inner membrane"	Monomer	None	Growth	488	26.352	0.02135416	1	1	5.239
gltP	EG10405	GltII	inner membrane	Monomer	None	Growth	2118	47.159	0.165859226	1	1	8.572
gltS	EG10406	gltC	inner membrane	Monomer	None	Growth	365	42.425	0.025713655	1	1	8.346
gltT	EG30032	tgtB; tRNAgltT	cytosol	Monomer	None	No Info Available	No Info Available	No Info Available	No Info Available	1	1	No Info Available
gltU	EG30033	tgtC; tRNAgltU	cytosol	Monomer	None	No Info Available	No Info Available	No Info Available	No Info Available	1	1	No Info Available
gltV	EG30034	tgtE; tRNAgltV	cytosol	Monomer	None	No Info Available	No Info Available	No Info Available	No Info Available	1	1	No Info Available
gltW	EG30035	tRNAgltW	cytosol	Monomer	None	No Info Available	No Info Available	No Info Available	No Info Available	1	1	No Info Available
gltX	EG10407	gltM; gluRS	cytosol	Monomer	"Mg2+ , Zn2+ "	No Growth	13429	53.816	1.200063368	1	1	5.651
gluQ	EG11362	yadB	cytosol	Monomer	None	Growth	116	34.868	0.006716362	1	1	6.598
glvB	EG11709	yidN; yidO	inner membrane	Monomer	None	Growth	No Info Available	17.626	No Info Available	1	1	6.06
glvC	EG11710	ptiC	inner membrane	Monomer	None	Growth	No Info Available	39.692	No Info Available	1	1	6.307
glvG	EG11708	yidM	Unknown	Monomer	None	Growth	No Info Available	23.724	No Info Available	1	1	9.107
glxK	G6283	glxB5; ybbZ; glycerate 2-kinase II	cytosol	Monomer	None	Growth	52	38.734	0.003344605	1	1	4.543
glyT	EG30036	sumA; sup15B; supA36; tRNAglyT	cytosol	Monomer	None	No Info Available	No Info Available	No Info Available	No Info Available	1	1	No Info Available
glyU	EG30037	supT; suA36; sufD; sumA; sumB; tRNAglyU	cytosol	Monomer	None	No Info Available	No Info Available	No Info Available	No Info Available	1	1	No Info Available
glyV	EG30038	glyValpha; ins; mutA; suA58; suA78; tRNAglyV	cytosol	Monomer	None	No Info Available	No Info Available	No Info Available	No Info Available	1	1	No Info Available
glyW	EG30039	ins; mutC; suA58; suA78; tRNAglyW	cytosol	Monomer	None	No Info Available	No Info Available	No Info Available	No Info Available	1	1	No Info Available
glyX	EG30040	glyVbeta; tRNAglyX	cytosol	Monomer	None	No Info Available	No Info Available	No Info Available	No Info Available	1	1	No Info Available
glyY	EG30041	glyVgamma; tRNAglyY	cytosol	Monomer	None	No Info Available	No Info Available	No Info Available	No Info Available	1	1	No Info Available
gmhB	EG11736	"yaeD; D,D-heptose 1,7-bisphosphate phosphatase"	cytosol	Monomer	Mg2+ 	Growth	1350	21.294	0.04773535	1	1	4.849
gndA	G0-16693	None	inner membrane	Monomer	None	No Info Available	No Info Available	5.956	No Info Available	1	1	No Info Available
gnsB	G6823	ydfY	cytosol	Monomer	None	Growth	4708	6.548	0.051191071	1	1	9.287
gntP	EG12563	yjiB	inner membrane	Monomer	None	Growth	60	47.138	0.004696469	1	1	6.946
gntR	EG12630	None	cytosol	Monomer	None	Growth	592	36.422	0.035804251	1	1	6.57
gntT	EG12380	gntTalpha; yhgC; gntM; usgA	inner membrane	Monomer	None	Growth	66	45.967	0.00503778	1	1	8.166
gntU	EG12631	b3435; b3436	inner membrane	Monomer	None	Growth	31	46.416	0.002389343	1	1	6.69
gph	EG11871	yhfE; HAD10	cytosol	Monomer	"Mg2+ , chloride "	Growth	1316	27.389	0.059852343	1	1	4.408
gpmM	EG12296	gpmC; pgmI; gpmI; yibO	cytosol	Monomer	Mn2+ 	Growth	5931	56.194	0.553435434	1	1	No Info Available
gpr	G7558	mgrA; yghZ; AKR14A1	Unknown	Monomer	None	Growth	83	38.832	0.00535201	1	1	6.933
grcA	EG11784	yfiD	cytosol	Monomer	None	Growth	7560	14.284	0.179316696	1	1	4.964
greA	EG10415	None	cytosol	Monomer	None	Growth	9172	17.641	0.268680617	1	1	4.572
greB	EG11578	None	cytosol	Monomer	None	Growth	439	18.527	0.01350575	1	1	8.044
grxA	EG10417	grx; glutaredoxin 1	cytosol	Monomer	None	Growth	1247	9.685	0.020054654	1	1	4.67
grxB	EG12688	GRX 2	cytosol	Monomer	None	Growth	936	24.35	0.037846342	1	1	7.857
grxC	EG12294	yibM; reduced glutaredoxin 3	cytosol	Monomer	None	Growth	7668	9.137	0.116341543	1	1	6.986
gshA	EG10418	gsh-I; γ-glutamate—cysteine ligase	cytosol	Monomer	Mg2+ 	Growth	1300	58.269	0.125785334	1	1	5.165
gspA	G7701	yheD	"inner membrane, cytosol"	Monomer	None	Growth	No Info Available	55.298	No Info Available	1	1	8.299
gspB	EG11263	pioO; pinO; calcium-binding protein required for initiation of chromosome replication	"inner membrane, cytosol"	Monomer	None	Growth	4	15.876	0.000105451	1	1	4.649
gstB	G6438	yliJ	cytosol	Monomer	None	Growth	1359	23.713	0.053512476	1	1	4.92
guaD	G7502	ygfP	cytosol	Monomer	Zn2+ 	Growth	41	50.244	0.003420717	1	1	5.989
gudD	G7445	ygcX	cytosol	Monomer	Mg2+ 	Growth	119	49.141	0.009710465	1	1	5.784
gudP	G7447	gudT; ygcZ	inner membrane	Monomer	None	Growth	No Info Available	49.142	No Info Available	1	1	9.549
gudX	G7446	ygcY; GlucDRP	cytosol	Monomer	None	Growth	No Info Available	48.85	No Info Available	1	1	5.792
gutM	EG10972	gut; srlM	Unknown	Monomer	None	Growth	No Info Available	12.953	No Info Available	1	1	10.761
hcaB	G7335	yfhX; phdD	cytosol	Monomer	None	Growth	No Info Available	28.5	No Info Available	1	1	5.978
hcaR	G7331	phdR; yfhT	cytosol	Monomer	None	Growth	33	32.838	0.00179945	1	1	6.125
hcaT	G7330	yfhS	inner membrane	Monomer	None	Growth	116	41.593	0.008011749	1	1	9.976
hcp	G6457	priS; ybjW; fuscoredoxin; prismane protein; hybrid-cluster protein; nitric oxide reductase	cytosol	Monomer	None	Growth	No Info Available	60.064	No Info Available	1	1	5.082
hcr	G6456	ybjV	Unknown	Monomer	"a [2Fe-2S] iron-sulfur cluster , FAD "	Growth	18	35.74	0.001068258	1	1	5.459
hcxA	EG12692	ybdH	cytosol	Monomer	None	Growth	113	39.092	0.007335259	1	1	No Info Available
hcxB	EG11581	ybiC	cytosol	Monomer	None	Growth	914	38.897	0.059035248	1	1	No Info Available
hda	G7313	idaB; yfgE; regulator of DnaA that prevents premature reinitiation of DNA replication	"inner membrane, cytosol"	Monomer	None	Growth	188	26.633	0.008314326	1	1	5.227
hdeD	EG11495	yhiA	inner membrane	Monomer	None	Growth	88	20.903	0.003054502	1	1	9.653
hdfR	EG11449	b3762; yifA; yifD; b3763	cytosol	Monomer	None	Growth	297	31.746	0.015656495	1	1	7.394
helD	EG10426	srjB	cytosol	Monomer	None	Growth	251	77.976	0.03250003	1	1	8.186
hemC	EG10429	popE	cytosol	Monomer	dipyrromethane 	No Growth	1131	33.852	0.063576414	1	1	5.215
hemD	EG10430	None	cytosol	Monomer	None	No Growth	136	27.798	0.006277714	1	1	6.116
hemE	EG11543	None	cytosol	Monomer	None	No Growth	2118	39.248	0.138036067	1	1	5.998
hemH	EG10431	popA; visA	cytosol	Monomer	None	No Growth	476	35.884	0.028363309	1	1	6.336
hemN	EG11836	yihJ	cytosol	Monomer	a [4Fe-4S] iron-sulfur cluster 	Growth	873	52.729	0.076438626	1	1	5.766
hemX	EG10433	None	inner membrane	Monomer	None	Growth	1016	42.963	0.072483207	1	1	4.507
hemY	EG10434	None	inner membrane	Monomer	None	Growth	798	45.245	0.059954609	1	1	8.638
hflD	EG11345	hslZ; ycfC	"inner membrane, cytosol"	Monomer	None	Growth	763	22.948	0.029074916	1	1	9.397
hflX	EG10437	"hslX; hflA; ribosome-dissociating factor, GTPase"	cytosol	Monomer	None	Growth	684	48.327	0.054890227	1	1	5.728
hha	EG10439	None	cytosol	Monomer	None	Growth	2927	8.628	0.041935512	1	1	8.877
hicA	G0-10451	yncN	Unknown	Monomer	None	Growth	No Info Available	6.782	No Info Available	1	1	10.79
hicB	G6749	ydcQ	cytosol	Monomer	None	Growth	280	15.247	0.007089107	1	1	4.867
hisA	EG10444	None	cytosol	Monomer	None	Growth	872	26.033	0.037695525	1	1	4.807
hisI	EG10451	hisE; hisIE	cytosol	Monomer	None	Growth	2356	22.756	0.089026705	1	1	5.166
hisL	EG11269	None	cytosol	Monomer	None	Growth	913	2.081	0.003154946	1	1	9.358
hisR	EG30042	hisT; tRNAhisR	cytosol	Monomer	None	No Info Available	No Info Available	No Info Available	No Info Available	1	1	No Info Available
hlyE	G6619	ycgD; clyA; hpr; sheA	"periplasmic space, extracellular space, membrane"	Monomer	None	Growth	No Info Available	33.758	No Info Available	1	1	4.941
hmp	EG10456	fsrB; hmpA; flavohemoglobin; flavohemoprotein	"periplasmic space, cytosol"	Monomer	"protoheme , FAD "	Growth	984	43.868	0.071679014	1	1	5.502
hns	EG10457	"B1; H1; virR; topX; topS; pilG; osmZ; msyA; irk; hnsA; bglY; cur; drc; drdX; drs; fimG; DNA-binding protein HLP-II (HU, BH2, HD, NS); H-NS"	"bacterial nucleoid, cytosol"	Monomer	None	Growth	86090	15.54	2.221533225	1	1	5.301
hofB	EG12106	hopB	cytosol	Monomer	None	Growth	No Info Available	50.615	No Info Available	1	1	6.347
hofC	EG11798	yacD; hopC	inner membrane	Monomer	None	Growth	No Info Available	44.45	No Info Available	1	1	8.077
hofM	G7739	yrfD; protein involved in utilization of DNA as a carbon source	Unknown	Monomer	None	Growth	17	29	0.000818646	1	1	6.71
hofN	G7738	yrfC; protein involved in utilization of DNA as a carbon source	inner membrane	Monomer	None	Growth	No Info Available	20.796	No Info Available	1	1	11.132
hofO	G7737	yrfB; protein involved in utilization of DNA as a carbon source	inner membrane	Monomer	None	Growth	No Info Available	16.846	No Info Available	1	1	5.706
hofP	G7736	yrfA; protein involved in utilization of DNA as a carbon source	Unknown	Monomer	None	Growth	No Info Available	15.098	No Info Available	1	1	8.671
hofQ	EG12113	hopQ; protein involved in utilization of DNA as a carbon source	outer membrane	Monomer	None	Growth	No Info Available	44.716	No Info Available	1	1	6.092
hokA	G0-9613	yiaZ	inner membrane	Monomer	None	Growth	No Info Available	5.998	No Info Available	1	1	7.671
hokB	G0-9610	ydcB; small toxic membrane polypeptide	inner membrane	Monomer	None	Growth	No Info Available	5.626	No Info Available	1	1	8.287
hokD	EG11130	relF; Qin prophage; small toxic polypeptide	inner membrane	Monomer	None	Growth	No Info Available	5.737	No Info Available	1	1	6.246
hokE	G0-9582	ybdY	inner membrane	Monomer	None	Growth	No Info Available	5.564	No Info Available	1	1	7.874
hpf	EG11681	yhbH	cytosol	Monomer	None	Growth	1006	10.75	0.017957899	1	1	6.745
hprR	G7057	yedW	cytosol	Monomer	None	Growth	166	25.018	0.006896199	1	1	No Info Available
hprS	G7056	yedV	"inner membrane, cytosol"	Monomer	None	Growth	54	50.85	0.004559674	1	1	No Info Available
hrpA	G6732	None	Unknown	Monomer	None	Growth	602	149.03	0.14897702	1	1	7.738
hrpB	EG12329	yadO	Unknown	Monomer	None	Growth	134	89.148	0.01983652	1	1	6.208
hscA	EG12130	"hsc; Hsc66; chaperone, member of Hsp70 protein family; chaperone for [Fe-S] cluster biosynthesis"	cytosol	Monomer	None	Growth	2256	65.652	0.245943952	1	1	4.859
hscB	EG12131	yfhE; Hsc20; Hsc20 co-chaperone that acts with Hsc66 in IscU iron-sulfur cluster assembly; co-chaperone for [Fe-S] cluster biosynthesis	cytosol	Monomer	None	Growth	1461	20.138	0.048855745	1	1	4.933
hscC	G6357	"ybeW; Hsc62; Hsc62, Hsp70 family chaperone, binds to RpoD and inhibits transcription"	cytosol	Monomer	None	Growth	No Info Available	61.986	No Info Available	1	1	4.932
hslJ	G6702	ydbI	membrane	Monomer	None	Growth	1675	15.166	0.042182756	1	1	6.973
hslO	G7744	yrfI; Hsp33	cytosol	Monomer	None	Growth	6405	32.534	0.346023574	1	1	4.206
hslR	G7743	hsp15; yrfH; heat shock protein Hsp15 involved in ribosome recycling	cytosol	Monomer	None	Growth	676	15.496	0.017394638	1	1	10.221
hsrA	EG11732	yieO; multidrug efflux pump HsrA	inner membrane	Monomer	None	Growth	No Info Available	51.462	No Info Available	1	1	10.633
htpX	EG10462	zinc dependent endoprotease	inner membrane	Monomer	None	Growth	4504	31.923	0.238754283	1	1	6.837
htrE	EG11972	None	outer membrane	Monomer	None	Growth	No Info Available	95.499	No Info Available	1	1	4.743
htrL	EG11188	yibB	Unknown	Monomer	None	Growth	654	33.458	0.036335138	1	1	9.861
hxpA	G7187	yfbT; sugar phosphatase YfbT; HAD2	cytosol	Monomer	Mg2+ 	Growth	488	23.007	0.018643563	1	1	No Info Available
hxpB	G6932	yniC; 2-deoxyglucose-6-phosphate phosphatase; HAD1	cytosol	Monomer	Mn2+ 	Growth	1568	24.33	0.063348634	1	1	No Info Available
hyaD	EG10471	protein involved in processing of HyaA and HyaB proteins	cytosol	Monomer	None	Growth	No Info Available	21.546	No Info Available	1	1	4.686
hyaE	EG10472	None	cytosol	Monomer	None	Growth	No Info Available	14.89	No Info Available	1	1	4.345
hyaF	EG10473	protein involved in nickel incorporation into hydrogenase 1 proteins	cytosol	Monomer	None	Growth	No Info Available	31.431	No Info Available	1	1	4.503
hybD	EG11802	None	cytosol	Monomer	None	Growth	133	17.751	0.003920338	1	1	4.501
hybE	EG11803	None	Unknown	Monomer	None	Growth	116	17.964	0.003460271	1	1	5.221
hybF	EG11804	protein involved with the maturation of hydrogenases 1 and 2	cytosol	Monomer	None	Growth	47	12.697	0.000990942	1	1	4.965
hybG	EG11805	hydrogenase 2 accessory protein	cytosol	Monomer	None	Growth	194	8.808	0.002837449	1	1	3.998
hycA	EG10474	hevA	cytosol	Monomer	None	Growth	No Info Available	17.627	No Info Available	1	1	5.889
hycH	EG10481	hevH	cytosol	Monomer	None	Growth	28	15.465	0.000719047	1	1	5.015
hycI	G7414	HycE processing protein	cytosol	Monomer	None	Growth	191	17.057	0.005409849	1	1	3.86
hydN	EG11552	None	cytosol	Monomer	None	Growth	No Info Available	19.026	No Info Available	1	1	7.713
hyfJ	G7307	None	cytosol	Monomer	None	Growth	No Info Available	15.577	No Info Available	1	1	4.768
hyfR	G7308	None	cytosol	Monomer	None	Growth	No Info Available	75.305	No Info Available	1	1	5.976
hypE	EG10487	hydB	cytosol	Monomer	None	Growth	72	35.092	0.004195558	1	1	4.922
hypF	EG11551	hydA; hydrogenase maturation protein; carbamoyltransferase HypF	cytosol	Monomer	None	Growth	38	82.066	0.005178404	1	1	6.099
iaaA	EG12407	spt; ybiK	"cytosol, periplasmic space"	Monomer	None	Growth	74	33.394	0.004103451	1	1	4.696
iap	EG10488	None	periplasmic space	Monomer	None	Growth	99	37.92	0.006233796	1	1	9.218
ibsA	G0-10633	None	inner membrane	Monomer	None	No Info Available	No Info Available	2.232	No Info Available	1	1	9.109
ibsB	G0-10632	None	inner membrane	Monomer	None	No Info Available	No Info Available	2.064	No Info Available	1	1	9.104
ibsC	G0-10631	None	inner membrane	Monomer	None	No Info Available	No Info Available	2.209	No Info Available	1	1	9.256
ibsD	G0-10630	None	inner membrane	Monomer	None	No Info Available	No Info Available	2.151	No Info Available	1	1	9.104
ibsE	G0-10629	None	inner membrane	Monomer	None	No Info Available	No Info Available	2.207	No Info Available	1	1	9.104
icdC	G0-10556	None	Unknown	Monomer	None	Growth	No Info Available	No Info Available	No Info Available	1	1	No Info Available
iclR	EG10491	None	cytosol	Monomer	None	Growth	519	29.739	0.025629658	1	1	7.888
idi	G7508	ygfV	cytosol	Monomer	"Zn2+ , Mg2+ "	Growth	110	20.508	0.003745977	1	1	6.069
idlP	G0-16685	None	Unknown	Monomer	None	No Info Available	No Info Available	3.016	No Info Available	1	1	No Info Available
idnD	G7893	yjgV	cytosol	Monomer	None	Growth	No Info Available	37.147	No Info Available	1	1	6.001
idnK	EG12152	gntV; gluconokinase II	cytosol	Monomer	None	Growth	29	21.004	0.001011461	1	1	6.666
idnR	G7891	gntS?; gntH; yjgS	cytosol	Monomer	None	Growth	84	37.567	0.005240043	1	1	6.368
idnT	EG12539	gntW; yjgT	inner membrane	Monomer	None	Growth	No Info Available	46.041	No Info Available	1	1	6.667
igaA	G7741	yrfF	inner membrane	Monomer	None	No Growth	220	79.49	0.029039175	1	1	No Info Available
ileS	EG10492	ilvS; IleRS	cytosol	Monomer	Zn2+ 	No Growth	6143	104.3	1.063932105	1	1	5.707
ileT	EG30043	tilA; tRNAileT	cytosol	Monomer	None	No Info Available	No Info Available	No Info Available	No Info Available	1	1	No Info Available
ileU	EG30044	tilD; tRNAileU	cytosol	Monomer	None	No Info Available	No Info Available	No Info Available	No Info Available	1	1	No Info Available
ileV	EG30045	tRNAileV	cytosol	Monomer	None	No Info Available	No Info Available	No Info Available	No Info Available	1	1	No Info Available
ileX	EG30046	tRNA(2Ile); tRNA(minorIle); tRNAileX	cytosol	Monomer	None	No Info Available	No Info Available	No Info Available	No Info Available	1	1	No Info Available
ileY	G7387	tRNAileY	cytosol	Monomer	None	No Info Available	No Info Available	No Info Available	No Info Available	1	1	No Info Available
ilvL	EG11270	None	cytosol	Monomer	None	Growth	3985	3.231	0.021380329	1	1	11.103
ilvX	G0-10641	None	Unknown	Monomer	None	No Info Available	102	1.91	0.000323506	1	1	11.102
ilvY	EG10503	positive regulator for ilvC	cytosol	Monomer	None	Growth	100	33.204	0.005513654	1	1	6.538
inaA	EG11422	yfaG; pH-inducible protein involved in stress response	cytosol	Monomer	None	Growth	369	25.296	0.015499843	1	1	9.166
infA	EG10504	bypA1; IF1; protein chain initiation factor IF-1	cytosol	Monomer	None	No Growth	30461	8.25	0.417298858	1	1	9.506
infB	EG10505	ssyG; IF-2; protein chain initiation factor IF2	cytosol	Monomer	None	No Growth	13806	97.35	2.231787884	1	1	5.638
infC	EG10506	fit; srjA; IF3; protein chain initiation factor IF-3	cytosol	Monomer	None	No Growth	22624	20.564	0.772549077	1	1	9.827
insA1	G6086	None	Unknown	Monomer	None	No Info Available	No Info Available	9.868	No Info Available	1	1	10.559
insA2	G6139	None	Unknown	Monomer	None	No Info Available	No Info Available	9.902	No Info Available	1	1	10.559
insA3	G6146	None	Unknown	Monomer	None	No Info Available	No Info Available	9.902	No Info Available	1	1	10.559
insA4	G0-10430	None	Unknown	Monomer	None	No Info Available	No Info Available	9.902	No Info Available	1	1	10.559
insA5	G7030	None	Unknown	Monomer	None	No Info Available	No Info Available	9.868	No Info Available	1	1	10.559
insA6	G7761	None	Unknown	Monomer	None	No Info Available	No Info Available	9.868	No Info Available	1	1	10.559
insA7	G7908	None	cytosol	Monomer	None	No Info Available	No Info Available	9.925	No Info Available	1	1	10.921
insA9	G0-16638	None	Unknown	Monomer	None	No Info Available	No Info Available	9.868	No Info Available	1	1	No Info Available
insAB1	G0-10535	None	Unknown	Monomer	None	No Info Available	No Info Available	26.388	No Info Available	1	1	No Info Available
insAB2	G0-10537	None	Unknown	Monomer	None	No Info Available	No Info Available	26.506	No Info Available	1	1	No Info Available
insAB3	G0-10538	None	Unknown	Monomer	None	No Info Available	No Info Available	26.506	No Info Available	1	1	No Info Available
insAB4	G0-10536	None	Unknown	Monomer	None	No Info Available	No Info Available	26.517	No Info Available	1	1	No Info Available
insAB5	G0-10539	InsAB-5	Unknown	Monomer	None	No Info Available	No Info Available	26.388	No Info Available	1	1	No Info Available
insAB6	G0-10540	None	Unknown	Monomer	None	No Info Available	No Info Available	26.388	No Info Available	1	1	No Info Available
insB1	G6085	None	cytosol	Monomer	None	No Info Available	No Info Available	19.565	No Info Available	1	1	10.359
insB2	G6138	None	cytosol	Monomer	None	No Info Available	No Info Available	19.758	No Info Available	1	1	10.554
insB3	G6145	None	Unknown	Monomer	None	No Info Available	No Info Available	19.758	No Info Available	1	1	10.554
insB4	G6509	None	cytosol	Monomer	None	No Info Available	No Info Available	19.7	No Info Available	1	1	10.391
insB5	G7029	None	Unknown	Monomer	None	No Info Available	No Info Available	19.565	No Info Available	1	1	10.359
insB6	G7762	None	Unknown	Monomer	None	No Info Available	No Info Available	19.565	No Info Available	1	1	10.359
insB7	G0-10569	b4563; b4564	Unknown	Monomer	None	No Info Available	No Info Available	No Info Available	No Info Available	1	1	No Info Available
insB9	G0-16637	None	Unknown	Monomer	None	No Info Available	No Info Available	19.565	No Info Available	1	1	No Info Available
insC2	G6724	yi21-2	cytosol	Monomer	None	No Info Available	No Info Available	13.452	No Info Available	1	1	9.809
insC3	G7077	yi21-3	cytosol	Monomer	None	No Info Available	No Info Available	13.452	No Info Available	1	1	9.809
insC4	G7481	yi21-4	cytosol	Monomer	None	No Info Available	No Info Available	13.452	No Info Available	1	1	9.809
insC5	G7583	yi21-5	cytosol	Monomer	None	No Info Available	No Info Available	13.452	No Info Available	1	1	9.809
insC6	G7894	yi21-6	cytosol	Monomer	None	No Info Available	No Info Available	13.452	No Info Available	1	1	9.809
insCD1	G0-10541	InsAB'	Unknown	Monomer	None	No Info Available	No Info Available	46.442	No Info Available	1	1	No Info Available
insCD2	G0-10542	InsAB'	Unknown	Monomer	None	No Info Available	No Info Available	46.442	No Info Available	1	1	No Info Available
insCD3	G0-10543	InsAB'	Unknown	Monomer	None	No Info Available	No Info Available	46.442	No Info Available	1	1	No Info Available
insCD4	G0-10544	InsAB'	Unknown	Monomer	None	No Info Available	No Info Available	46.442	No Info Available	1	1	No Info Available
insCD5	G0-10545	InsAB'	Unknown	Monomer	None	No Info Available	No Info Available	46.442	No Info Available	1	1	No Info Available
insCD6	G0-10546	InsAB'	Unknown	Monomer	None	No Info Available	No Info Available	46.442	No Info Available	1	1	No Info Available
insD1	G6213	yi22-1	cytosol	Monomer	None	No Info Available	No Info Available	34.398	No Info Available	1	1	8.897
insD2	G6723	yi22-2	Unknown	Monomer	None	No Info Available	No Info Available	34.398	No Info Available	1	1	8.897
insD3	G7076	yi22-3	Unknown	Monomer	None	No Info Available	No Info Available	34.398	No Info Available	1	1	8.897
insD4	G7480	yi22-4	Unknown	Monomer	None	No Info Available	No Info Available	34.398	No Info Available	1	1	8.897
insD5	G7584	yi22-5	Unknown	Monomer	None	No Info Available	No Info Available	34.398	No Info Available	1	1	8.897
insD6	G7895	yi22-6	Unknown	Monomer	None	No Info Available	No Info Available	34.398	No Info Available	1	1	8.897
insD7	G6836	insD ; insD8	Unknown	Monomer	None	No Info Available	No Info Available	No Info Available	No Info Available	1	1	No Info Available
insE1	G6168	None	cytosol	Monomer	None	No Info Available	No Info Available	11.543	No Info Available	1	1	10.203
insE2	G6224	None	cytosol	Monomer	None	No Info Available	No Info Available	11.543	No Info Available	1	1	10.203
insE3	G6296	None	cytosol	Monomer	None	No Info Available	No Info Available	11.543	No Info Available	1	1	10.203
insE4	G6534	None	cytosol	Monomer	None	No Info Available	No Info Available	11.543	No Info Available	1	1	10.203
insE5	G7125	None	cytosol	Monomer	None	No Info Available	No Info Available	11.543	No Info Available	1	1	10.203
insEF1	G0-10525	None	Unknown	Monomer	None	No Info Available	No Info Available	44.967	No Info Available	1	1	No Info Available
insEF2	G0-10529	None	Unknown	Monomer	None	No Info Available	No Info Available	44.967	No Info Available	1	1	No Info Available
insEF3	G0-10530	None	Unknown	Monomer	None	No Info Available	No Info Available	44.967	No Info Available	1	1	No Info Available
insEF4	G0-10531	None	Unknown	Monomer	None	No Info Available	No Info Available	44.967	No Info Available	1	1	No Info Available
insEF5	G0-10528	None	Unknown	Monomer	None	No Info Available	No Info Available	44.967	No Info Available	1	1	No Info Available
insF1	G6169	tra5-5	cytosol	Monomer	None	No Info Available	No Info Available	33.54	No Info Available	1	1	9.914
insF2	G6223	tra5-1	Unknown	Monomer	None	No Info Available	No Info Available	33.54	No Info Available	1	1	9.914
insF3	G6297	tra5-2	Unknown	Monomer	None	No Info Available	No Info Available	33.54	No Info Available	1	1	9.914
insF4	G6533	tra5-3	Unknown	Monomer	None	No Info Available	No Info Available	33.54	No Info Available	1	1	9.914
insF5	G7126	tra5-4	Unknown	Monomer	None	No Info Available	No Info Available	33.54	No Info Available	1	1	9.914
insG	G7900	yi41	cytosol	Monomer	None	No Info Available	195	50.386	0.016315244	1	1	9.906
insH1	G6134	trs5; trs5-1; yi52_1	cytosol	Monomer	None	No Info Available	No Info Available	37.851	No Info Available	1	1	9.797
insH10	G7672	trs5-10; yi52_10	cytosol	Monomer	None	No Info Available	No Info Available	37.851	No Info Available	1	1	9.797
insH11	G7769	yi52_11; trs5-11	cytosol	Monomer	None	No Info Available	No Info Available	37.851	No Info Available	1	1	9.797
insH2	G6308	trs5-2; yi52_2	cytosol	Monomer	None	No Info Available	No Info Available	37.851	No Info Available	1	1	9.797
insH21	G0-16639	None	Unknown	Monomer	None	No Info Available	No Info Available	37.851	No Info Available	1	1	No Info Available
insH3	G6360	trs5-3; yi52_3	cytosol	Monomer	None	No Info Available	No Info Available	37.851	No Info Available	1	1	9.797
insH4	G6667	trs5-4; yi52_4	cytosol	Monomer	None	No Info Available	No Info Available	37.851	No Info Available	1	1	9.797
insH5	G6693	yi52_5; trs5-5	cytosol	Monomer	None	No Info Available	No Info Available	37.777	No Info Available	1	1	9.778
insH6	G7074	yi52_6; trs5-6	cytosol	Monomer	None	No Info Available	No Info Available	37.823	No Info Available	1	1	9.69
